death_cause,total_deaths
MENINGITIS_DEATHS,6397674
DEMENTIA_DEATHS,23703258
PARKINSONS_DEATHS,5633340
MALARIA_DEATHS,16645919
DROWNING_DEATHS,5979133
HIV_AIDS_DEATHS,27681071
DRUGS_DEATHS,1953939
TUBERCULOSIS_DEATHS,28330780
CARDIOVASCULAR_DEATHS,322225817
RESPIRATORY_DEATHS,53036043
NEONATAL_DISORDER_DEATHS,48054490
ALCOHOL_DEATHS,3397519
DIARRHEAL_DEATHS,39150271
NEOPLASM_DEATHS,170132385
CONFLICT_DEATHS,1898138
DIABETES_DEATHS,23914745
KIDNEY_DEATHS,22214436
POISONING_DEATHS,1718431
ROAD_DEATHS,24846661
LIVER_DEATHS,26775479
DIGESTIVE_DISEASE_DEATHS,46618015
FIRE_DEATHS,2350219
ACUTE_HEPATITIS_DEATHS,2209564
MEASLES_DEATHS,5437191
